state_ab,polling_place_id,proposed_disposition,reason
NSW,402,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
NSW,976,ACCEPT_EXACT_ID,"Exact ID and polling-place name continue in the same division; official metadata documents a premises move from Penrose to Wingello."
NSW,1081,ACCEPT_EXACT_ID,"Exact ID and Caroona polling-place name continue in the same division; official metadata documents a premises move to Quirindi."
NSW,1475,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
NSW,1958,ACCEPT_EXACT_ID,"Exact ID and Loomberah polling-place name continue in the same division; official metadata documents a premises move to Nemingha."
NSW,2104,ACCEPT_EXACT_ID,"Exact ID and Meerschaum Vale polling-place name continue in the same division; official metadata documents a premises move to Woodburn."
NSW,2172,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
NSW,2614,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
NSW,2887,ACCEPT_EXACT_ID,"The 2022 coordinate is unavailable at (0,0), but exact ID and Surry Hills name continue in the same division with a documented local premises move."
NSW,11978,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
NSW,32594,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
NSW,81621,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
NSW,83589,ACCEPT_EXACT_ID,"Exact ID, name, division, and premises agree; North Parade is an address abbreviation change and coordinates are inconsistent."
NSW,83845,ACCEPT_EXACT_ID,"The 2022 coordinate is unavailable at (0,0); exact ID, same division, and Darlinghurst South name with only a division suffix removed support continuity."
NSW,97476,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
VIC,3411,ACCEPT_EXACT_ID,"Exact ID, name, division, and premises agree; the street number changed slightly and coordinates are inconsistent."
VIC,3444,ACCEPT_EXACT_ID,"Exact ID, division, premises, and full address agree; Waverley North was renamed Mount Waverley Upper at the same site."
VIC,4245,REJECT_IDENTITY_CHANGE,"Name, premises, address, division, and location all changed from Exford/Gorton to Eynesbury/Hawke, indicating numeric-ID reuse for a materially different identity."
VIC,4865,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and substantive address agree; 2022 repeats the premises name in the address field and coordinates are inconsistent."
QLD,5863,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
QLD,5875,ACCEPT_EXACT_ID,"Exact ID, name, division, and premises agree; the 448 km distance conflicts with identical Mornington Island identity evidence and is a coordinate error."
QLD,5971,ACCEPT_EXACT_ID,"Exact ID and Kowanyama name continue in the same division; official metadata documents a premises change within Kowanyama."
QLD,6464,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
SA,6936,ACCEPT_EXACT_ID,"Exact ID, name, division, and premises agree in Leigh Creek; the 477 km distance conflicts with the official address evidence and is a coordinate error."
SA,7202,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
SA,7259,ACCEPT_EXACT_ID,"Exact ID, name, division, premises, and full address all agree; coordinate discrepancy is an official metadata error."
NT,8710,REJECT_IDENTITY_CHANGE,"Polling-place name, premises, address, and locality changed from Arumbera/Yirara College to Kilgariff/Desert Knowledge Precinct, indicating a materially different identity."
